m,k,n,dtype,
1,64,64,int8,
1,128,128,int8,
1,256,256,int8,
1,512,512,int8,
1,1024,1024,int8,
1,2048,2048,int8,
1,64,256,int8,
32,4096,32,int8,
64,4096,64,int8,
64,64,256,int8,
64,64,64,int8,
64,128,128,int8,
64,256,256,int8,
64,512,512,int8,
64,1024,1024,int8,
64,2048,2048,int8,
128,4096,128,int8,
128,64,256,int8,
128,64,64,int8,
128,128,128,int8,
128,256,256,int8,
128,512,512,int8,
128,1024,1024,int8,
128,2048,2048,int8,
256,4096,256,int8,
256,64,256,int8,
256,64,64,int8,
256,128,128,int8,
256,256,256,int8,
256,512,512,int8,
256,1024,1024,int8,
256,2048,2048,int8,
512,4096,512,int8,
512,64,256,int8,
512,64,64,int8,
512,128,128,int8,
512,256,256,int8,
512,512,512,int8,
512,1024,1024,int8,
512,2048,2048,int8,
1024,1024,1024,int8,
1024,4096,1024,int8,
1024,1024,1024,int8,
1024,64,256,int8,
1024,64,64,int8,
1024,128,128,int8,
1024,256,256,int8,
1024,512,512,int8,
1024,1024,1024,int8,
1024,2048,2048,int8,
2048,4096,2048,int8,
2048,64,256,int8,
2048,64,64,int8,
2048,128,128,int8,
2048,256,256,int8,
2048,512,512,int8,
2048,1024,1024,int8,
2048,2048,2048,int8,
4096,4096,4096,int8,
4096,32,4096,int8,
4096,64,4096,int8,
4096,128,4096,int8,
4096,256,4096,int8,
4096,512,4096,int8,
4096,1024,4096,int8,
4096,2048,4096,int8,
4096,4096,4096,int8,
4096,8192,4096,int8,
8192,4096,8192,int8,
27648,4096,128,int8,
27648,4096,256,int8,
27648,4096,512,int8,
